Territorialidades;IDHM 2010
Pirenópolis (GO);0,693
Pires do Rio (GO);0,744
Pires Ferreira (CE);0,591
Piripá (BA);0,575
Piripiri (PI);0,635
Piritiba (BA);0,578
Pirpirituba (PB);0,595
Pitanga (PR);0,702
Pitangueiras (PR);0,71
Pitangueiras (SP);0,723
Pitangui (MG);0,725
Pitimbu (PB);0,57
Piúma (ES);0,727
Piumhi (MG);0,737
Pium (TO);0,65
Placas (PA);0,552
Plácido de Castro (AC);0,622
Planaltina do Paraná (PR);0,705
Planaltina (GO);0,669
Planaltino (BA);0,572
Planalto Alegre (SC);0,751
Planalto (BA);0,56
Planalto da Serra (MT);0,656
Planalto (PR);0,706
Planalto (RS);0,687
Planalto (SP);0,719
Planura (MG);0,712
Platina (SP);0,719
Poá (SP);0,771
Poção de Pedras (MA);0,576
Poção (PE);0,528
Pocinhos (PB);0,591
Poço Branco (RN);0,587
Poço Dantas (PB);0,525
Poço das Antas (RS);0,744
Poço das Trincheiras (AL);0,526
Poço de José de Moura (PB);0,612
Poções (BA);0,604
Poço Fundo (MG);0,691
Poconé (MT);0,652
Poço Redondo (SE);0,529
Poços de Caldas (MG);0,779
Poço Verde (SE);0,561
Pocrane (MG);0,626
Pojuca (BA);0,666
Poloni (SP);0,766
Pombal (PB);0,634
Pombos (PE);0,598
Pomerode (SC);0,78
Pompéia (SP);0,786
Pompéu (MG);0,689
Pongaí (SP);0,755
Ponta de Pedras (PA);0,562
Ponta Grossa (PR);0,763
Pontal do Araguaia (MT);0,734
Pontal do Paraná (PR);0,738
Pontalina (GO);0,687
Pontalinda (SP);0,702
Pontal (SP);0,725
Pontão (RS);0,725
Ponta Porã (MS);0,701
Ponte Alta do Bom Jesus (TO);0,603
Ponte Alta do Norte (SC);0,689
Ponte Alta do Tocantins (TO);0,624
Ponte Alta (SC);0,673
Ponte Branca (MT);0,686
Ponte Nova (MG);0,717
Ponte Preta (RS);0,725
Pontes E Lacerda (MT);0,703
Ponte Serrada (SC);0,693
Pontes Gestal (SP);0,732
Ponto Belo (ES);0,669
Ponto Chique (MG);0,606
Ponto dos Volantes (MG);0,595
Ponto Novo (BA);0,58
Populina (SP);0,714
Porangaba (SP);0,703
Poranga (CE);0,581
Porangatu (GO);0,727
Porciúncula (RJ);0,697
Porecatu (PR);0,738
Portalegre (RN);0,621
Portão (RS);0,713
Porteirão (GO);0,684
Porteiras (CE);0,622
Porteirinha (MG);0,651
Portelândia (GO);0,654
Portel (PA);0,483
Porto Acre (AC);0,576
Porto Alegre do Norte (MT);0,673
Porto Alegre do Piauí (PI);0,563
Porto Alegre do Tocantins (TO);0,645
Porto Alegre (RS);0,805
Porto Amazonas (PR);0,7
Porto Barreiro (PR);0,688
Porto Belo (SC);0,76
Porto Calvo (AL);0,586
Porto da Folha (SE);0,568
Porto de Moz (PA);0,503
Porto de Pedras (AL);0,541
Porto do Mangue (RN);0,59
Porto dos Gaúchos (MT);0,685
Porto Esperidião (MT);0,652
Porto Estrela (MT);0,599
Porto Feliz (SP);0,758
Porto Ferreira (SP);0,751
Porto Firme (MG);0,634
Porto Franco (MA);0,684
Porto Grande (AP);0,64
Porto Lucena (RS);0,693
Porto Mauá (RS);0,698
Porto Murtinho (MS);0,666
Porto Nacional (TO);0,74
Porto (PI);0,549
Porto Real do Colégio (AL);0,551
Porto Real (RJ);0,713
Porto Rico do Maranhão (MA);0,615
Porto Rico (PR);0,735
Porto Seguro (BA);0,676
Porto União (SC);0,786
Porto Velho (RO);0,736
Porto Vera Cruz (RS);0,69
Porto Vitória (PR);0,685
Porto Walter (AC);0,532
Porto Xavier (RS);0,723
Posse (GO);0,659
Poté (MG);0,624
Potengi (CE);0,562
Potim (SP);0,697
Potiraguá (BA);0,625
Potirendaba (SP);0,747
Potiretama (CE);0,604
Pouso Alegre (MG);0,774
Pouso Alto (MG);0,71
Pouso Novo (RS);0,715
Pouso Redondo (SC);0,72
Poxoréo (MT);0,678
Pracinha (SP);0,696
Pracuúba (AP);0,614
Prado (BA);0,621
Prado Ferreira (PR);0,71
Pradópolis (SP);0,733
Prados (MG);0,689
Praia Grande (SC);0,718
Praia Grande (SP);0,754
Praia Norte (TO);0,583
Prainha (PA);0,523
Pranchita (PR);0,752
Prata do Piauí (PI);0,565
Prata (MG);0,695
Pratânia (SP);0,701
Prata (PB);0,608
Pratápolis (MG);0,729
Pratinha (MG);0,721
Presidente Alves (SP);0,735
Presidente Bernardes (MG);0,632
Presidente Bernardes (SP);0,757
Presidente Castello Branco (SC);0,77
Presidente Castelo Branco (PR);0,713
Presidente Dutra (BA);0,614
Presidente Dutra (MA);0,653
Presidente Epitácio (SP);0,75
Presidente Figueiredo (AM);0,647
Presidente Getúlio (SC);0,759
Presidente Jânio Quadros (BA);0,542
Presidente Juscelino (MA);0,563
Presidente Juscelino (MG);0,614
Presidente Juscelino (RN);0,563
Presidente Kennedy (ES);0,657
Presidente Kennedy (TO);0,669
Presidente Kubitschek (MG);0,595
Presidente Lucena (RS);0,757
Presidente Médici (MA);0,591
Presidente Médici (RO);0,664
Presidente Nereu (SC);0,737
Presidente Olegário (MG);0,701
Presidente Prudente (SP);0,806
Presidente Sarney (MA);0,557
Presidente Tancredo Neves (BA);0,559
Presidente Vargas (MA);0,587
Presidente Venceslau (SP);0,763
Primavera de Rondônia (RO);0,641
Primavera do Leste (MT);0,752
Primavera (PA);0,577
Primavera (PE);0,58
Primeira Cruz (MA);0,512
Primeiro de Maio (PR);0,701
Princesa Isabel (PB);0,606
Princesa (SC);0,706
Professor Jamil (GO);0,684
Progresso (RS);0,683
Promissão (SP);0,743
Propriá (SE);0,661
Protásio Alves (RS);0,733
Prudente de Morais (MG);0,69
Prudentópolis (PR);0,676
Pugmil (TO);0,669
Pureza (RN);0,567
Putinga (RS);0,715
Puxinanã (PB);0,617
Quadra (SP);0,678
Quaraí (RS);0,704
Quartel Geral (MG);0,683
Quarto Centenário (PR);0,71
Quatá (SP);0,738
Quatiguá (PR);0,714
Quatipuru (PA);0,543
Quatis (RJ);0,69
Quatro Barras (PR);0,742
Quatro Irmãos (RS);0,689
Quatro Pontes (PR);0,791
Quebrangulo (AL);0,559
Quedas do Iguaçu (PR);0,681
Queimada Nova (PI);0,515
Queimadas (BA);0,592
Queimadas (PB);0,608
Queimados (RJ);0,68
Queiroz (SP);0,715
Queluzito (MG);0,682
Queluz (SP);0,722
Querência do Norte (PR);0,688
Querência (MT);0,692
Quevedos (RS);0,665
Quijingue (BA);0,544
Quilombo (SC);0,73
Quinta do Sol (PR);0,715
Quintana (SP);0,732
Quinze de Novembro (RS);0,756
Quipapá (PE);0,552
Quirinópolis (GO);0,74
Quissamã (RJ);0,704
Quitandinha (PR);0,68
Quiterianópolis (CE);0,594
Quixabá (PB);0,622
Quixaba (PE);0,577
Quixabeira (BA);0,578
Quixadá (CE);0,659
Quixelô (CE);0,591
Quixeramobim (CE);0,642
Quixeré (CE);0,622
Rafael Fernandes (RN);0,608
Rafael Godeiro (RN);0,654
Rafael Jambeiro (BA);0,564
Rafard (SP);0,745
Ramilândia (PR);0,63
Rancharia (SP);0,751
Rancho Alegre D'Oeste (PR);0,704
Rancho Alegre (PR);0,707
Rancho Queimado (SC);0,753
Raposa (MA);0,626
Raposos (MG);0,73
Raul Soares (MG);0,655
Realeza (PR);0,722
Rebouças (PR);0,672
Recife (PE);0,772
Recreio (MG);0,692
Recursolândia (TO);0,5
Redenção (CE);0,626
Redenção da Serra (SP);0,657
Redenção do Gurguéia (PI);0,589
Redenção (PA);0,672
Redentora (RS);0,631
Reduto (MG);0,629
Regeneração (PI);0,591
Regente Feijó (SP);0,768
Reginópolis (SP);0,728
Registro (SP);0,754
Relvado (RS);0,731
Remanso (BA);0,579
Remígio (PB);0,607
Renascença (PR);0,733
Reriutaba (CE);0,601
Resende Costa (MG);0,685
Resende (RJ);0,768
Reserva do Cabaçal (MT);0,676
Reserva do Iguaçu (PR);0,648
Reserva (PR);0,618
Resplendor (MG);0,67
Ressaquinha (MG);0,683
Restinga Seca (RS);0,683
Restinga (SP);0,705
Retirolândia (BA);0,636
Riachão das Neves (BA);0,578
Riachão do Bacamarte (PB);0,553
Riachão do Dantas (SE);0,539
Riachão do Jacuípe (BA);0,628
Riachão do Poço (PB);0,555
Riachão (MA);0,576
Riachão (PB);0,574
Riachinho (MG);0,632
Riachinho (TO);0,572
Riacho da Cruz (RN);0,584
Riacho das Almas (PE);0,57
Riacho de Santana (BA);0,615
Riacho de Santana (RN);0,591
Riacho de Santo Antônio (PB);0,594
Riacho dos Cavalos (PB);0,568
Riacho dos Machados (MG);0,627
Riacho Frio (PI);0,541
Riachuelo (RN);0,592
Riachuelo (SE);0,617
Rialma (GO);0,727
Rianápolis (GO);0,693
Ribamar Fiquene (MA);0,615
Ribas do Rio Pardo (MS);0,664
Ribeira do Amparo (BA);0,512
Ribeira do Piauí (PI);0,52
Ribeira do Pombal (BA);0,601
Ribeirão Bonito (SP);0,712
Ribeirão Branco (SP);0,639
Ribeirão Cascalheira (MT);0,67
Ribeirão Claro (PR);0,716
Ribeirão Corrente (SP);0,711
Ribeirão das Neves (MG);0,684
Ribeirão do Largo (BA);0,54
Ribeirão do Pinhal (PR);0,701
Ribeirão dos Índios (SP);0,721
Ribeirão do Sul (SP);0,747
Ribeirão Grande (SP);0,705
Ribeirão (PE);0,602
Ribeirão Pires (SP);0,784
Ribeirão Preto (SP);0,8
Ribeirão Vermelho (MG);0,737
Ribeirãozinho (MT);0,692
Ribeira (SP);0,698
Ribeiro Gonçalves (PI);0,601
Ribeirópolis (SE);0,613
Rifaina (SP);0,74
Rincão (SP);0,734
Rinópolis (SP);0,723
Rio Acima (MG);0,673
Rio Azul (PR);0,687
Rio Bananal (ES);0,681
Rio Bom (PR);0,729
Rio Bonito do Iguaçu (PR);0,629
Rio Bonito (RJ);0,71
Rio Branco (AC);0,727
Rio Branco do Ivaí (PR);0,64
Rio Branco do Sul (PR);0,679
Rio Branco (MT);0,707
Rio Brilhante (MS);0,715
Rio Casca (MG);0,65
Rio Claro (RJ);0,683
Rio Claro (SP);0,803
Rio Crespo (RO);0,643
Rio da Conceição (TO);0,608
Rio das Antas (SC);0,697
Rio das Flores (RJ);0,68
Rio das Ostras (RJ);0,773
Rio das Pedras (SP);0,759
Rio de Contas (BA);0,605
Rio de Janeiro (RJ);0,799
Rio do Antônio (BA);0,576
Rio do Campo (SC);0,729
Rio Doce (MG);0,664
Rio do Fogo (RN);0,569
Rio do Oeste (SC);0,754
Rio do Pires (BA);0,594
Rio do Prado (MG);0,605
Rio dos Bois (TO);0,616
Rio dos Cedros (SC);0,729
Rio dos Índios (RS);0,656
Rio do Sul (SC);0,802
Rio Espera (MG);0,602
Rio Formoso (PE);0,613
Rio Fortuna (SC);0,806
Rio Grande da Serra (SP);0,749
Rio Grande do Piauí (PI);0,572
Rio Grande (RS);0,744
Riolândia (SP);0,703
Rio Largo (AL);0,643
Rio Manso (MG);0,648
Rio Maria (PA);0,638
Rio Negrinho (SC);0,738
Rio Negro (MS);0,709
Rio Negro (PR);0,76
Rio Novo do Sul (ES);0,711
Rio Novo (MG);0,707
Rio Paranaíba (MG);0,709
Rio Pardo de Minas (MG);0,624
Rio Pardo (RS);0,693
Rio Piracicaba (MG);0,685
Rio Pomba (MG);0,714
Rio Preto da Eva (AM);0,611
Rio Preto (MG);0,679
Rio Quente (GO);0,731
Rio Real (BA);0,572
Rio Rufino (SC);0,653
Rio Sono (TO);0,6
Rio Tinto (PB);0,585
Rio Verde de Mato Grosso (MS);0,673
Rio Verde (GO);0,754
Rio Vermelho (MG);0,558
Riozinho (RS);0,661
Riqueza (SC);0,714
Ritápolis (MG);0,653
Riversul (SP);0,664
Roca Sales (RS);0,729
Rochedo de Minas (MG);0,684
Rochedo (MS);0,651
Rodeio Bonito (RS);0,732
Rodeio (SC);0,754
Rodeiro (MG);0,668
Rodelas (BA);0,632
Rodolfo Fernandes (RN);0,604
Rodrigues Alves (AC);0,567
Rolador (RS);0,689
Rolândia (PR);0,739
Rolante (RS);0,688
Rolim de Moura (RO);0,7
Romaria (MG);0,708
Romelândia (SC);0,692
Roncador (PR);0,681
Ronda Alta (RS);0,724
Rondinha (RS);0,764
Rondolândia (MT);0,64
Rondon do Pará (PA);0,602
Rondonópolis (MT);0,755
Rondon (PR);0,713
Roque Gonzales (RS);0,688
Rorainópolis (RR);0,619
Rosana (SP);0,764
Rosário da Limeira (MG);0,662
Rosário do Catete (SE);0,631
Rosário do Ivaí (PR);0,662
Rosário do Sul (RS);0,699
Rosário (MA);0,632
Rosário Oeste (MT);0,65
Roseira (SP);0,737
Roteiro (AL);0,505
Rubelita (MG);0,582
Rubiácea (SP);0,721
Rubiataba (GO);0,719
Rubim (MG);0,609
Rubinéia (SP);0,759
Rurópolis (PA);0,548
Russas (CE);0,674
Ruy Barbosa (BA);0,61
Ruy Barbosa (RN);0,605
Sabará (MG);0,731
Sabáudia (PR);0,74
Sabinópolis (MG);0,638
Sabino (SP);0,728
Saboeiro (CE);0,575
Sacramento (MG);0,732
Sagrada Família (RS);0,678
Sagres (SP);0,73
Sairé (PE);0,585
Saldanha Marinho (RS);0,762
Sales Oliveira (SP);0,772
Salesópolis (SP);0,732
Sales (SP);0,751
Salete (SC);0,744
Salgadinho (PB);0,563
Salgadinho (PE);0,534
Salgado de São Félix (PB);0,568
Salgado Filho (PR);0,7
Salgado (SE);0,609
Salgueiro (PE);0,669
Salinas da Margarida (BA);0,617
Salinas (MG);0,679
Salinópolis (PA);0,647
Salitre (CE);0,54
Salmourão (SP);0,719
Saloá (PE);0,559
Saltinho (SC);0,654
Saltinho (SP);0,791
Salto da Divisa (MG);0,608
Salto de Pirapora (SP);0,729
Salto do Céu (MT);0,666
Salto do Itararé (PR);0,704
Salto do Jacuí (RS);0,687
Salto do Lontra (PR);0,718
Salto Grande (SP);0,704
Salto (SP);0,78
Salto Veloso (SC);0,784
Salvador (BA);0,759
Salvador das Missões (RS);0,753
Salvador do Sul (RS);0,74
Salvaterra (PA);0,608
Sambaíba (MA);0,565
Sampaio (TO);0,606
Sananduva (RS);0,747
Sanclerlândia (GO);0,736
Sandolândia (TO);0,659
Sandovalina (SP);0,709
Sangão (SC);0,7
Sanharó (PE);0,603
Santa Adélia (SP);0,76
Santa Albertina (SP);0,728
Santa Amélia (PR);0,653
Santa Bárbara (BA);0,583
Santa Bárbara de Goiás (GO);0,706
Santa Bárbara D'Oeste (SP);0,781
Santa Bárbara do Leste (MG);0,613
Santa Bárbara do Monte Verde (MG);0,606
Santa Bárbara do Pará (PA);0,627
Santa Bárbara do Sul (RS);0,725
Santa Bárbara do Tugúrio (MG);0,637
Santa Bárbara (MG);0,707
Santa Branca (SP);0,735
Santa Brígida (BA);0,546
Santa Carmem (MT);0,715
Santa Cecília do Pavão (PR);0,723
Santa Cecília do Sul (RS);0,725
Santa Cecília (PB);0,525
Santa Cecília (SC);0,698
Santa Clara D'Oeste (SP);0,733
Santa Clara do Sul (RS);0,74
Santa Cruz Cabrália (BA);0,654
Santa Cruz da Baixa Verde (PE);0,612
Santa Cruz da Conceição (SP);0,79
Santa Cruz da Esperança (SP);0,743
Santa Cruz das Palmeiras (SP);0,728
Santa Cruz da Vitória (BA);0,61
Santa Cruz de Goiás (GO);0,688
Santa Cruz de Minas (MG);0,706
Santa Cruz de Monte Castelo (PR);0,71
Santa Cruz de Salinas (MG);0,577
Santa Cruz do Arari (PA);0,557
Santa Cruz do Capibaribe (PE);0,648
Santa Cruz do Escalvado (MG);0,625
Santa Cruz do Piauí (PI);0,601
Santa Cruz do Rio Pardo (SP);0,762
Santa Cruz dos Milagres (PI);0,577
Santa Cruz do Sul (RS);0,773
Santa Cruz do Xingu (MT);0,684
Santa Cruz (PB);0,618
Santa Cruz (PE);0,549
Santa Cruz (RN);0,635
Santa Efigênia de Minas (MG);0,607
Santa Ernestina (SP);0,738
Santa Fé de Goiás (GO);0,713
Santa Fé de Minas (MG);0,615
Santa Fé do Araguaia (TO);0,616
Santa Fé do Sul (SP);0,784
Santa Fé (PR);0,705
Santa Filomena do Maranhão (MA);0,525
Santa Filomena (PE);0,533
Santa Filomena (PI);0,544
Santa Gertrudes (SP);0,737
Santa Helena de Goiás (GO);0,724
Santa Helena de Minas (MG);0,567
Santa Helena (MA);0,571
Santa Helena (PB);0,609
Santa Helena (PR);0,744
Santa Helena (SC);0,727
Santa Inês (BA);0,574
Santa Inês (MA);0,674
Santa Inês (PB);0,572
Santa Inês (PR);0,717
Santa Isabel do Ivaí (PR);0,72
Santa Isabel do Pará (PA);0,659
Santa Isabel do Rio Negro (AM);0,479
Santa Isabel (GO);0,683
Santa Isabel (SP);0,738
Santa Izabel do Oeste (PR);0,696
Santa Juliana (MG);0,706
Santa Leopoldina (ES);0,626
Santa Lúcia (PR);0,687
Santa Lúcia (SP);0,737
Santaluz (BA);0,598
Santa Luzia (BA);0,556
Santa Luzia D'Oeste (RO);0,67
Santa Luzia do Itanhy (SE);0,545
Santa Luzia do Norte (AL);0,597
Santa Luzia do Pará (PA);0,546
Santa Luzia do Paruá (MA);0,599
Santa Luzia (MA);0,55
Santa Luzia (MG);0,715
Santa Luzia (PB);0,682
Santa Luz (PI);0,588
Santa Margarida do Sul (RS);0,663
Santa Margarida (MG);0,61
Santa Maria da Boa Vista (PE);0,59
Santa Maria das Barreiras (PA);0,544
Santa Maria da Serra (SP);0,686
Santa Maria da Vitória (BA);0,614
Santa Maria de Itabira (MG);0,648
Santa Maria de Jetibá (ES);0,671
Santa Maria do Cambucá (PE);0,548
Santa Maria do Herval (RS);0,676
Santa Maria do Oeste (PR);0,609
Santa Maria do Pará (PA);0,598
Santa Maria do Salto (MG);0,613
Santa Maria do Suaçuí (MG);0,64
Santa Maria do Tocantins (TO);0,634
Santa Maria Madalena (RJ);0,668
Santa Mariana (PR);0,7
Santa Maria (RN);0,59
Santa Maria (RS);0,784
Santa Mercedes (SP);0,739
Santa Mônica (PR);0,704
Santana (AP);0,692
Santana (BA);0,608
Santana da Boa Vista (RS);0,633
Santana da Ponte Pensa (SP);0,773
Santana da Vargem (MG);0,698
Santana de Cataguases (MG);0,694
Santana de Mangueira (PB);0,535
Santana de Parnaíba (SP);0,814
Santana de Pirapama (MG);0,628
Santana do Acaraú (CE);0,587
Santana do Araguaia (PA);0,602
Santana do Cariri (CE);0,612
Santana do Deserto (MG);0,651
Santana do Garambéu (MG);0,667
Santana do Ipanema (AL);0,591
Santana do Itararé (PR);0,687
Santana do Jacaré (MG);0,647
Sant'Ana do Livramento (RS);0,727
Santana do Manhuaçu (MG);0,621
Santana do Maranhão (MA);0,51
Santana do Matos (RN);0,591
Santana do Mundaú (AL);0,519
Santana do Paraíso (MG);0,685
Santana do Piauí (PI);0,574
Santana do Riacho (MG);0,665
Santana do São Francisco (SE);0,59
Santana do Seridó (RN);0,642
Santana dos Garrotes (PB);0,594
Santana dos Montes (MG);0,647
Santanópolis (BA);0,592
Santa Quitéria (CE);0,616
Santa Quitéria do Maranhão (MA);0,555
Santarém Novo (PA);0,587
Santarém (PA);0,691
Santarém (PB);0,622
Santa Rita de Caldas (MG);0,69
Santa Rita de Cássia (BA);0,605
Santa Rita de Ibitipoca (MG);0,63
Santa Rita de Jacutinga (MG);0,682
Santa Rita de Minas (MG);0,613
Santa Rita do Araguaia (GO);0,714
Santa Rita D'Oeste (SP);0,761
Santa Rita do Itueto (MG);0,607
Santa Rita do Novo Destino (GO);0,634
Santa Rita do Pardo (MS);0,642
Santa Rita do Passa Quatro (SP);0,775
Santa Rita do Sapucaí (MG);0,721
Santa Rita do Tocantins (TO);0,651
Santa Rita do Trivelato (MT);0,735
Santa Rita (MA);0,609
Santa Rita (PB);0,627
Santa Rosa da Serra (MG);0,705
Santa Rosa de Goiás (GO);0,701
Santa Rosa de Lima (SC);0,757
Santa Rosa de Lima (SE);0,592
Santa Rosa de Viterbo (SP);0,77
Santa Rosa do Piauí (PI);0,567
Santa Rosa do Purus (AC);0,517
Santa Rosa do Sul (SC);0,705
Santa Rosa do Tocantins (TO);0,595
Santa Rosa (RS);0,769
Santa Salete (SP);0,772
Santa Teresa (ES);0,714
Santa Teresinha (BA);0,587
Santa Teresinha (PB);0,627
Santa Tereza de Goiás (GO);0,665
Santa Tereza do Oeste (PR);0,705
Santa Tereza do Tocantins (TO);0,662
Santa Tereza (RS);0,746
Santa Terezinha de Goiás (GO);0,701
Santa Terezinha de Itaipu (PR);0,738
Santa Terezinha do Progresso (SC);0,682
Santa Terezinha do Tocantins (TO);0,637
Santa Terezinha (MT);0,609
Santa Terezinha (PE);0,593
Santa Terezinha (SC);0,669
Santa Vitória do Palmar (RS);0,712
Santa Vitória (MG);0,71
Santiago do Sul (SC);0,728
Santiago (RS);0,766
Santo Afonso (MT);0,689
Santo Amaro (BA);0,646
Santo Amaro da Imperatriz (SC);0,781
Santo Amaro das Brotas (SE);0,637
Santo Amaro do Maranhão (MA);0,518
Santo Anastácio (SP);0,753
Santo André (PB);0,6
Santo André (SP);0,815
Santo Ângelo (RS);0,772
Santo Antônio da Alegria (SP);0,702
Santo Antônio da Barra (GO);0,691
Santo Antônio da Patrulha (RS);0,717
Santo Antônio da Platina (PR);0,718
Santo Antônio das Missões (RS);0,686
Santo Antônio de Goiás (GO);0,723
Santo Antônio de Jesus (BA);0,7
Santo Antônio de Lisboa (PI);0,584
Santo Antônio de Pádua (RJ);0,718
Santo Antônio de Posse (SP);0,702
Santo Antônio do Amparo (MG);0,672
Santo Antônio do Aracanguá (SP);0,757
Santo Antônio do Aventureiro (MG);0,671
Santo Antônio do Caiuá (PR);0,696
Santo Antônio do Descoberto (GO);0,665
Santo Antônio do Grama (MG);0,633
Santo Antônio do Içá (AM);0,49
Santo Antônio do Itambé (MG);0,558
Santo Antônio do Jacinto (MG);0,574
Santo Antônio do Jardim (SP);0,714
Santo Antônio do Leste (MT);0,655
Santo Antônio do Leverger (MT);0,656
Santo Antônio do Monte (MG);0,724
Santo Antônio do Palma (RS);0,764
Santo Antônio do Paraíso (PR);0,716
Santo Antônio do Pinhal (SP);0,706
Santo Antônio do Planalto (RS);0,759
Santo Antônio do Retiro (MG);0,57
Santo Antônio do Rio Abaixo (MG);0,669
Santo Antônio dos Lopes (MA);0,566
Santo Antônio dos Milagres (PI);0,619
Santo Antônio do Sudoeste (PR);0,671
Santo Antônio do Tauá (PA);0,632
Santo Antônio (RN);0,62
Santo Augusto (RS);0,739
Santo Cristo (RS);0,738
Santo Estêvão (BA);0,626
Santo Expedito do Sul (RS);0,732
Santo Expedito (SP);0,732
Santo Hipólito (MG);0,657
Santo Inácio do Piauí (PI);0,613
Santo Inácio (PR);0,739
Santópolis do Aguapeí (SP);0,74
Santos Dumont (MG);0,741
Santos (SP);0,84
São Benedito (CE);0,611
São Benedito do Rio Preto (MA);0,541
São Benedito do Sul (PE);0,53
São Bentinho (PB);0,606
São Bento Abade (MG);0,672
São Bento do Norte (RN);0,555
São Bento do Sapucaí (SP);0,72
São Bento do Sul (SC);0,782
São Bento do Tocantins (TO);0,605
São Bento do Trairí (RN);0,595
São Bento do Una (PE);0,593
São Bento (MA);0,602
São Bento (PB);0,58
São Bernardino (SC);0,677
São Bernardo do Campo (SP);0,805
São Bernardo (MA);0,572
São Bonifácio (SC);0,731
São Borja (RS);0,736
São Brás (AL);0,572
São Brás do Suaçuí (MG);0,664
São Braz do Piauí (PI);0,596
São Caetano de Odivelas (PA);0,585
São Caetano do Sul (SP);0,862
São Caitano (PE);0,591
São Carlos do Ivaí (PR);0,682
São Carlos (SC);0,769
São Carlos (SP);0,805
São Cristovão do Sul (SC);0,665
São Cristóvão (SE);0,662
São Desidério (BA);0,579
São Domingos (BA);0,64
São Domingos das Dores (MG);0,638
São Domingos do Araguaia (PA);0,594
São Domingos do Azeitão (MA);0,59
São Domingos do Capim (PA);0,532
São Domingos do Cariri (PB);0,589
São Domingos do Maranhão (MA);0,582
São Domingos do Norte (ES);0,682
São Domingos do Prata (MG);0,69
São Domingos do Sul (RS);0,763
São Domingos (GO);0,597
São Domingos (PB);0,548
São Domingos (SC);0,765
São Domingos (SE);0,588
São Felipe (BA);0,616
São Felipe D'Oeste (RO);0,649
São Félix (BA);0,639
São Félix de Balsas (MA);0,557
São Félix de Minas (MG);0,62
São Félix do Araguaia (MT);0,668
São Félix do Coribe (BA);0,639
São Félix do Piauí (PI);0,61
São Félix do Tocantins (TO);0,574
São Félix do Xingu (PA);0,594
São Fernando (RN);0,608
São Fidélis (RJ);0,691
São Francisco de Assis do Piauí (PI);0,485
São Francisco de Assis (RS);0,675
São Francisco de Goiás (GO);0,651
São Francisco de Itabapoana (RJ);0,639
São Francisco de Paula (MG);0,66
São Francisco de Paula (RS);0,685
São Francisco de Sales (MG);0,688
São Francisco do Brejão (MA);0,584
São Francisco do Conde (BA);0,674
São Francisco do Glória (MG);0,663
São Francisco do Guaporé (RO);0,611
São Francisco do Maranhão (MA);0,528
São Francisco do Oeste (RN);0,628
São Francisco do Pará (PA);0,608
São Francisco do Piauí (PI);0,57
São Francisco do Sul (SC);0,762
São Francisco (MG);0,638
São Francisco (PB);0,58
São Francisco (SE);0,587
São Francisco (SP);0,723
São Gabriel (BA);0,592
São Gabriel da Cachoeira (AM);0,609
São Gabriel da Palha (ES);0,709
São Gabriel do Oeste (MS);0,729
São Gabriel (RS);0,699
São Geraldo da Piedade (MG);0,6
São Geraldo do Araguaia (PA);0,595
São Geraldo do Baixio (MG);0,63
São Geraldo (MG);0,651
São Gonçalo do Abaeté (MG);0,67
São Gonçalo do Amarante (CE);0,665
São Gonçalo do Amarante (RN);0,661
São Gonçalo do Gurguéia (PI);0,56
São Gonçalo do Pará (MG);0,689
São Gonçalo do Piauí (PI);0,616
São Gonçalo do Rio Abaixo (MG);0,667
São Gonçalo do Rio Preto (MG);0,64
São Gonçalo do Sapucaí (MG);0,715
São Gonçalo dos Campos (BA);0,627
São Gonçalo (RJ);0,739
São Gotardo (MG);0,736
São Jerônimo da Serra (PR);0,637
São Jerônimo (RS);0,696
São João Batista do Glória (MG);0,724
São João Batista (MA);0,598
São João Batista (SC);0,74
São João da Baliza (RR);0,655
São João da Barra (RJ);0,671
São João da Boa Vista (SP);0,797
São João da Canabrava (PI);0,559
São João da Fronteira (PI);0,515
São João da Lagoa (MG);0,634
São João D'Aliança (GO);0,685
São João da Mata (MG);0,653
São João da Paraúna (GO);0,724
São João da Ponta (PA);0,583
São João da Ponte (MG);0,569
São João das Duas Pontes (SP);0,72
São João da Serra (PI);0,582
São João das Missões (MG);0,529
São João da Urtiga (RS);0,694
São João da Varjota (PI);0,559
São João de Iracema (SP);0,748
São João Del Rei (MG);0,758
São João de Meriti (RJ);0,719
São João de Pirabas (PA);0,539
São João do Araguaia (PA);0,55
São João do Arraial (PI);0,523
São João do Caiuá (PR);0,664
São João do Cariri (PB);0,622
São João do Carú (MA);0,509
São João do Itaperiú (SC);0,738
São João do Ivaí (PR);0,693
São João do Jaguaribe (CE);0,654
São João do Manhuaçu (MG);0,65
São João do Manteninha (MG);0,64
São João do Oeste (SC);0,761
São João do Oriente (MG);0,648
São João do Pacuí (MG);0,625
São João do Paraíso (MA);0,609
São João do Paraíso (MG);0,615
São João do Pau D'Alho (SP);0,75
São João do Piauí (PI);0,645
São João do Polêsine (RS);0,748
São João do Rio do Peixe (PB);0,608
São João do Sabugi (RN);0,655
São João do Soter (MA);0,517
São João dos Patos (MA);0,615
São João do Sul (SC);0,695
São João do Tigre (PB);0,552
São João do Triunfo (PR);0,629
São João Evangelista (MG);0,638
São João Nepomuceno (MG);0,708
São João (PE);0,57
São João (PR);0,727
São Joaquim da Barra (SP);0,762
São Joaquim de Bicas (MG);0,662
